Feature	Description	Type	Context	MD_101	MD_102	MD_103	MD_104	MD_11	MD_110.1	MD_111.1	MD_112.1	MD_113	MD_114	MD_116	MD_118	MD_119	MD_120	MD_121	MD_122	MD_125	MD_127	MD_129.1	MD_131.1	MD_133.1	MD_134	MD_135	MD_137.1	MD_138	MD_142.1	MD_144	MD_146	MD_149	MD_15	MD_151	MD_153	MD_154	MD_155	MD_156	MD_158	MD_159	MD_161	MD_162	MD_164	MD_165	MD_166	MD_167	MD_170	MD_171	MD_172	MD_174	MD_175	MD_180	MD_181	MD_182	MD_183	MD_184	MD_185	MD_186	MD_187	MD_188	MD_189	MD_190	MD_191	MD_192	MD_195	MD_196	MD_197	MD_198	MD_199	MD_200	MD_202	MD_203	MD_223	MD_270	MD_271.1	MD_28	MD_31	MD_32	MD_39	MD_40	MD_41	MD_42	MD_43	MD_5	MD_6	MD_75	MD_77	MD_79	MD_83	MD_86.1	MD_87	MD_89	MD_90	MD_91	MD_94	MD_96.1	MD_98	MD_147	MD_53
MENSSEN_MYC_UP		discrete		L	L	L	L	L	L	L	L	H	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	H	L	H	L	H	L	H	L	L	L	L	L	L	H	L	H	H	H	L	H	L	H	L	L	L	L	L	H	H	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	H	H	L	L	L	L	L	L	L	L	L	L	L
PENG_RAPAMYCIN_DN		discrete		L	L	L	L	L	L	L	L	H	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	H	L	L	L	L	L	L	L	L	L	L	L	L	H	L	H	L	L	L	L	L	L	L	L	H	L	H	H	H	H	L	L	H	L	L	L	L	L	H	H	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	H	L	L	L	L	L	L	L	L	L	L	L
DSRNA		discrete		L	L	L	L	L	L	L	L	L	L	L	H	L	L	H	L	L	H	L	L	L	H	L	L	L	L	L	L	L	L	L	L	H	L	L	H	L	L	L	L	L	L	L	H	L	L	L	H	L	L	L	L	L	L	L	L	H	L	H	L	L	H	L	L	H	L	H	L	L	L	L	L	L	H	L	L	L	L	L	L	L	H	L	L	L	L	L	L	L	H	L	L	L	L	L	H
HINATA_NFKB_DN		discrete		L	L	L	L	L	L	L	L	L	L	L	L	L	L	H	H	L	H	H	L	L	H	L	L	L	L	L	L	L	L	L	L	H	H	L	L	L	L	L	H	L	L	L	L	H	L	L	H	L	L	L	L	L	L	L	L	H	L	L	L	H	H	L	L	L	L	L	L	L	L	L	H	L	L	L	L	L	H	L	L	L	H	L	L	L	L	L	H	L	L	L	L	L	L	L	H
P53_DN.v2		discrete		L	L	L	L	L	L	L	L	L	L	L	L	L	H	H	H	L	H	H	L	L	H	L	H	L	L	L	L	L	L	L	L	L	H	H	L	L	L	L	L	L	L	L	L	H	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	H	L	L	L	L	L	H	L	L	L	H	L	H	L	H	L	L	L	L	L	L	L	H	L	L	L	L	L	H
IL22BPPATHWAY		discrete		L	L	H	L	H	L	L	L	L	L	L	L	L	L	H	H	H	H	L	L	L	H	L	L	L	L	L	L	L	L	L	L	L	L	H	H	L	L	L	L	L	L	L	L	L	L	L	H	L	L	L	L	H	L	L	L	H	L	H	L	H	L	L	L	L	L	L	L	L	L	L	L	L	H	L	L	L	L	L	L	L	L	L	L	L	L	L	H	H	L	L	L	L	L	L	H
ABBUD_LIF_GH3_DN		discrete		L	L	L	L	L	L	L	L	L	L	L	H	L	L	L	H	L	H	L	L	L	L	L	L	L	L	L	L	L	L	L	H	L	L	L	L	L	H	L	H	L	L	L	L	H	L	L	H	L	L	L	L	L	L	L	L	H	L	L	L	H	H	L	L	L	L	L	L	L	L	L	H	L	H	L	L	L	L	L	L	L	H	H	L	L	L	L	H	L	H	L	L	L	L	L	L
NGUYEN_KERATO		discrete		L	L	H	L	L	L	L	H	L	L	L	H	H	L	L	H	H	L	L	L	L	H	L	L	L	L	L	L	L	L	H	L	H	H	L	L	L	L	L	H	L	L	L	L	H	L	L	H	L	L	L	L	L	L	L	L	H	L	L	L	L	L	L	L	L	L	H	L	L	L	L	L	L	H	L	L	L	L	L	L	L	L	L	L	L	L	L	H	L	H	L	L	L	L	L	L
POMEROY_DESMOPLASIC_VS_CLASSIC_MD_UP		discrete		H	H	L	L	L	L	L	L	H	L	L	L	L	L	L	L	L	L	L	L	H	L	H	H	L	L	L	L	H	L	H	H	L	L	L	L	L	L	H	L	L	H	L	H	L	L	L	L	L	H	H	H	L	L	H	H	L	L	L	H	L	L	L	H	L	L	L	L	L	L	H	L	L	L	H	L	L	L	H	H	L	L	L	L	L	L	H	L	H	L	H	H	L	L	H	L
HSA04340_HEDGEHOG_SIGNALING_PATHWAY		discrete		L	H	H	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	H	H	L	L	L	L	H	H	H	H	L	L	L	H	L	L	H	L	L	H	L	H	L	H	L	L	L	H	H	H	L	L	H	H	L	L	L	H	L	L	L	H	L	L	L	H	L	L	H	L	L	L	L	L	L	L	H	L	L	L	L	L	L	L	H	L	H	L	L	H	L	L	H	L
HINATA_NFKB		discrete		L	H	L	L	L	L	L	L	L	L	L	L	L	L	H	L	L	L	L	L	H	L	H	H	L	L	L	L	H	L	H	H	L	L	L	L	L	L	H	L	L	H	L	H	L	L	L	L	L	H	H	H	L	L	H	H	L	L	L	L	L	L	L	H	L	L	L	L	L	L	H	L	L	L	H	H	L	L	H	H	L	L	L	H	H	L	H	L	H	L	L	H	L	L	H	L
RADAEVA_IFNA_DN		discrete		H	H	L	L	H	H	L	L	H	L	L	L	L	H	H	L	L	L	L	L	L	L	H	H	L	L	L	L	H	L	H	H	L	L	L	L	L	L	H	L	L	H	L	H	L	L	L	L	L	H	H	H	L	L	L	H	L	L	L	H	L	L	L	L	L	L	L	L	L	L	L	L	L	L	H	L	L	H	H	L	L	L	L	L	L	L	H	L	H	L	H	H	L	L	H	H
RORIE_ES_PNET_UP		discrete		H	H	L	L	L	H	L	L	L	L	L	L	L	L	H	L	L	L	H	L	H	L	L	H	L	L	L	L	L	H	H	H	L	L	L	L	L	L	L	L	L	L	L	H	L	L	L	L	L	H	H	H	L	L	L	L	L	L	L	H	L	L	L	H	L	L	L	H	L	L	H	L	L	L	H	H	L	H	H	H	L	L	L	H	L	L	H	L	L	L	L	H	L	L	H	H
SARCOMAS_LIPOSARCOMA		discrete		H	L	L	L	L	L	L	L	H	L	L	L	L	L	L	L	L	L	L	L	H	L	H	H	L	L	L	L	H	L	H	H	L	L	L	L	L	L	H	L	L	L	L	H	L	L	L	L	L	H	H	H	L	L	L	H	L	L	H	H	H	L	L	H	L	L	L	L	H	L	H	L	L	L	H	L	L	L	L	H	L	L	H	L	L	L	H	L	H	L	L	H	L	L	H	L
GPCRS_CLASS_C_METABOTROPIC_GLUTAMATE_PHEROMONE		discrete		L	L	L	L	L	L	L	L	L	L	L	L	H	L	L	H	H	L	H	L	L	H	L	L	L	L	L	L	L	L	L	L	H	L	L	L	H	H	L	H	L	L	L	L	H	L	H	L	L	L	L	L	L	L	L	L	H	H	L	L	L	H	L	L	L	L	L	L	L	L	L	L	L	H	L	L	H	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	H	L	L	L
DFOSB_BRAIN_2WKS_UP		discrete		L	L	L	L	L	L	L	L	L	L	L	L	H	L	L	L	H	L	H	H	L	L	L	L	L	L	L	L	L	L	L	L	H	L	L	H	L	H	L	H	L	L	L	L	H	L	H	L	H	L	L	L	L	L	L	L	L	H	L	L	L	L	L	L	L	H	H	L	L	H	L	L	H	L	L	L	H	L	L	L	H	L	H	L	L	L	L	L	L	L	L	L	L	L	L	L
PARKINPATHWAY		discrete		L	L	L	L	L	L	L	L	L	L	L	H	H	L	L	L	H	L	H	H	L	L	L	L	L	H	L	L	L	L	L	H	L	L	L	H	H	H	L	H	L	L	H	H	L	L	H	L	L	L	L	L	L	L	L	L	H	H	L	L	H	H	L	H	L	L	L	L	L	L	L	H	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L
HSA05020_PARKINSONS_DISEASE		discrete		L	L	L	L	L	H	L	L	L	H	L	L	H	H	L	L	H	L	H	H	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	H	H	H	L	H	L	L	L	L	H	L	H	L	L	L	L	L	L	L	L	L	H	H	L	L	H	H	L	L	L	L	L	L	L	L	L	H	L	L	L	L	L	L	L	L	L	L	H	L	L	L	L	L	L	L	L	L	L	L	L	L
MITRPATHWAY		discrete		L	L	L	L	L	L	L	L	L	L	L	H	H	L	L	H	H	L	H	H	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	H	H	H	L	H	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	H	H	L	L	H	H	L	L	L	L	L	L	L	L	L	L	H	L	L	L	L	L	L	L	H	H	H	L	L	L	L	L	L	L	L	L	L	L	L	L
HSA04080_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION		discrete		L	L	H	L	L	L	L	L	L	L	L	H	H	H	L	H	H	L	H	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	H	H	L	L	H	L	L	L	L	H	L	H	L	H	L	L	L	L	L	L	L	L	H	L	L	L	H	L	L	L	L	L	L	L	H	L	L	H	L	L	L	L	L	L	L	L	L	H	L	L	L	L	L	L	L	L	L	H	L	L	L
PHOTO_DN.v1		discrete		L	L	L	L	H	L	L	L	L	H	L	L	L	L	L	L	L	L	L	L	L	L	L	L	H	L	H	L	L	L	L	L	L	L	L	L	L	L	H	L	H	L	L	L	L	L	L	L	H	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	H	L	L	L	L	L	L	L	L	L	L	L	H	L	L	L	L	H	L	L	L	L	L	L	L	L	L	L	L	L	L
CRX_DN.v1		discrete		L	L	L	L	H	L	H	L	L	H	L	L	H	L	L	L	H	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	H	L	L	L	L	L	L	L	L	H	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	H	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	H	L	L	L	L	L	L	L	L	L	L	L	L	L
CtIP_DN.v1		discrete		L	L	L	L	H	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	H	L	L	L	L	L	L	L	L	L	L	H	L	L	L	L	L	L	L	L	L	L	L	L	H	L	L	L	L	L	L	L	L	H	L	L	L	L	L	L	L	H	L	L	L	L	L	L	L	L	L	H	L	L	L	L	L	L	L	L	L	H	L	L	L	L	L	L	L	L	L	L
NRL_DN.v1		discrete		L	L	L	L	H	L	L	L	L	H	L	L	L	L	L	L	L	L	L	L	L	L	L	L	H	L	L	L	L	L	L	L	L	L	L	L	L	L	L	H	H	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	H	L	L	L	H	L	L	L	L	L	L	L	H	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L
WNT_UP.v1		discrete		L	L	H	H	L	L	L	L	L	H	L	L	L	L	L	L	L	L	L	L	L	L	L	L	H	L	L	L	L	L	H	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	H	L	L	H	L	L	L	L	L	L	L	L	L	H	L	H
CHREBPPATHWAY		discrete		L	L	L	L	L	L	L	L	L	L	L	L	H	L	L	L	L	L	H	L	L	L	L	L	H	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	H	L	L	L	L	L	H	L	L	L	L	H	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	H	L	H	L	L	L	L	L	L	L	L	L	L
NEUROTRANSMITTERSPATHWAY		discrete		L	L	L	L	L	H	L	H	L	L	H	L	L	H	H	L	L	L	L	L	L	L	L	L	L	L	H	L	L	H	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	H	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	H	L	L	L	L	L	L	L	L	L	H	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L
BCAT_UP.v1_UP		discrete		L	L	L	L	L	H	L	H	L	L	H	L	L	H	H	L	L	L	L	L	L	L	L	L	L	L	H	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	H	L	L	L	L	L	L	L	L	L	H	L	L	L	L	H	L	L	L	L	L	L	L	L	L	L	L	L	L
ST_WNT_BETA_CATENIN_PATHWAY		discrete		L	L	L	L	L	H	L	H	L	L	H	L	L	H	H	L	L	L	L	L	L	L	L	L	L	L	H	L	L	L	L	L	L	L	L	L	L	L	L	L	L	H	L	H	L	H	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	H	L	L	L	L	L	L	L	L	L	H	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L
LEF1_UP.v1_UP		discrete		L	L	L	L	L	H	L	H	L	L	H	L	L	H	H	L	L	L	L	L	L	L	L	L	L	L	L	L	L	H	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	H	L	L	L	L	L	L	L	L	L	H	H	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	H	L
TGFBETA_LATE_UP		discrete		L	L	L	L	L	H	L	H	L	L	H	L	L	L	H	L	L	L	L	L	L	L	L	L	L	L	H	L	L	H	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	H	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	H	L	L	L	L	L	L	L	L	L	H	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	H	L
UVB_NHEK3_C6		discrete		L	L	L	L	L	H	L	H	L	L	H	L	L	H	H	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	H	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	H	L	L	L	L	H	L	L	L	L	H	L	L	L	L	L	H	L	L	L	L	L	L	L	L	L	L	L	L
C6_CLUSTER		discrete		c3	c3	c4	c1	c5	c6	c4	c6	c3	c5	c6	c4	c4	c6	c6	c2	c4	c2	c4	c4	c3	c2	c3	c3	c5	c4	c6	c1	c3	c6	c3	c3	c2	c2	c2	c4	c4	c4	c3	c4	c1	c3	c1	c3	c2	c6	c4	c2	c5	c3	c3	c3	c1	c1	c3	c3	c2	c4	c2	c3	c2	c2	c4	c3	c1	c5	c2	c6	c1	c1	c3	c5	c1	c2	c3	c1	c4	c6	c3	c3	c5	c4	c1	c5	c1	c5	c3	c2	c3	c2	c3	c3	c4	c1	c3	c2
mTOR_UP.v1		discrete		H	L	L	H	L	L	L	L	H	L	L	L	L	L	L	L	L	L	L	L	H	H	L	L	H	H	L	L	L	L	L	H	L	H	L	L	H	L	H	L	H	L	H	H	H	L	L	H	H	H	L	H	L	H	H	H	H	H	H	L	L	L	H	H	H	H	L	L	L	H	H	L	H	L	L	L	L	L	L	H	H	L	L	H	H	L	L	L	H	L	H	L	L	H	H	L
HOGERKORP_CD44_UP		discrete		L	H	H	L	L	H	H	H	L	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	L	L	H	L	L	L	H	L	H	H	H	L	L	L	H	H	L	L	L	L	L	H	H	H	H	L	L	L	L	H	H	L	H	H	L	H	H	H	H	L	L	H	H	H	L	L	L	L	L	H	L	H	H	H	H	H	H	H	L	L	L	L	H	L	L	H	L	H	H	L	L	H
COLLER_MYC		discrete		L	L	L	L	L	H	H	L	H	L	L	H	H	H	L	H	L	H	L	H	L	L	L	L	L	H	L	H	L	L	L	L	L	L	L	L	H	H	H	H	H	L	H	H	L	H	L	L	H	L	H	L	H	H	H	H	L	H	H	L	L	L	H	L	H	L	L	H	H	H	L	L	L	L	L	L	L	L	H	L	H	H	L	H	L	H	L	L	L	H	H	L	L	H	H	L
HISTIDINE_METABOLISM		discrete		H	H	L	L	H	H	L	L	H	L	H	H	H	H	H	L	H	L	H	H	L	H	H	H	L	H	H	L	H	L	L	L	L	L	L	H	H	L	H	L	L	L	L	H	L	L	H	L	L	H	H	H	H	L	L	H	H	H	L	H	H	H	L	H	H	H	H	H	L	L	H	H	H	H	H	L	H	L	L	H	H	H	L	L	L	L	H	L	H	L	H	H	L	L	H	H
GLI1_UP.v1_DN		discrete		L	L	L	L	H	H	L	H	H	H	H	H	H	H	H	L	H	H	L	H	L	H	L	H	L	H	H	H	L	H	L	L	H	H	H	H	H	H	L	L	H	L	L	L	L	H	H	H	H	L	L	L	H	H	L	L	H	H	H	L	H	H	H	L	L	H	H	H	H	L	H	L	H	L	H	H	L	H	L	L	H	H	H	H	H	H	L	L	L	L	L	L	H	H	L	L
RIBAVIRIN_RSV		discrete		H	L	L	L	L	H	L	H	H	H	L	H	H	H	L	L	L	L	H	L	L	H	L	H	L	L	L	L	L	H	H	H	L	L	L	H	H	H	H	H	H	L	L	L	H	H	H	L	L	H	H	H	H	H	H	H	H	H	H	H	H	H	H	L	H	H	H	H	H	H	H	L	H	L	L	H	L	L	L	L	L	L	H	H	H	L	H	L	L	L	H	L	H	H	H	L
Amp_8q24.21		discrete		0	0	0	0	NA	0	NA	0	NA	0	NA	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	0	0	NA	0	0	NA	NA	NA	1	0	0	0	0	NA	0	NA	1	0	0
Amp_2p24.3		discrete		1	1	0	0	NA	0	NA	0	NA	1	NA	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	0	1	NA	1	1	NA	NA	NA	1	0	0	0	0	NA	1	NA	0	1	0
Del_6q		discrete		0	0	0	0	NA	1	NA	1	NA	0	NA	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	1	0	NA	0	0	NA	NA	NA	0	0	0	0	0	NA	0	NA	0	0	0
Del_16q		discrete		0	0	0	1	NA	0	NA	0	NA	1	NA	1	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	0	1	NA	1	0	NA	NA	NA	1	0	0	1	0	NA	0	NA	1	1	0
Del_16q23.3		discrete		0	0	0	1	NA	0	NA	0	NA	1	NA	1	1	0	0	0	0	0	0	1	0	0	0	0	1	1	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	0	1	NA	1	0	NA	NA	NA	1	0	0	1	0	NA	0	NA	1	1	0
Amp_7q21.3		discrete		1	1	1	1	NA	0	NA	0	NA	1	NA	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	0	0	NA	1	1	NA	NA	NA	0	0	0	0	0	NA	0	NA	1	0	1
Amp_3q26.32		discrete		0	1	0	0	NA	0	NA	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	0	1	NA	0	0	NA	NA	NA	0	0	0	0	0	NA	1	NA	0	1	0
